Date,Open,High,Low,Close,Adj Close,Volume
2019-03-19,21.680000,21.680000,21.680000,21.680000,21.680000,0
2019-03-20,21.230000,21.230000,21.230000,21.230000,21.230000,0
2019-03-21,21.160000,21.160000,21.160000,21.160000,21.160000,0
2019-03-22,20.480000,20.480000,20.480000,20.480000,20.480000,0
2019-03-25,20.400000,20.400000,20.400000,20.400000,20.400000,0
2019-03-26,20.670000,20.670000,20.670000,20.670000,20.670000,0
2019-03-27,20.570000,20.570000,20.570000,20.570000,20.570000,0
2019-03-28,20.780001,20.780001,20.780001,20.780001,20.780001,0
2019-03-29,20.860001,20.860001,20.860001,20.860001,20.860001,0
2019-04-01,21.370001,21.370001,21.370001,21.370001,21.370001,0
2019-04-02,21.420000,21.420000,21.420000,21.420000,21.420000,0
2019-04-03,21.480000,21.480000,21.480000,21.480000,21.480000,0
2019-04-04,21.549999,21.549999,21.549999,21.549999,21.549999,0
2019-04-05,21.559999,21.559999,21.559999,21.559999,21.559999,0
2019-04-08,21.590000,21.590000,21.590000,21.590000,21.590000,0
2019-04-09,21.450001,21.450001,21.450001,21.450001,21.450001,0
2019-04-10,21.500000,21.500000,21.500000,21.500000,21.500000,0
2019-04-11,21.549999,21.549999,21.549999,21.549999,21.549999,0
2019-04-12,21.969999,21.969999,21.969999,21.969999,21.969999,0
2019-04-15,21.860001,21.860001,21.860001,21.860001,21.860001,0
2019-04-16,22.059999,22.059999,22.059999,22.059999,22.059999,0
2019-04-17,22.129999,22.129999,22.129999,22.129999,22.129999,0
2019-04-18,22.059999,22.059999,22.059999,22.059999,22.059999,0
2019-04-22,22.059999,22.059999,22.059999,22.059999,22.059999,0
2019-04-23,22.170000,22.170000,22.170000,22.170000,22.170000,0
2019-04-24,22.170000,22.170000,22.170000,22.170000,22.170000,0
2019-04-25,22.240000,22.240000,22.240000,22.240000,22.240000,0
2019-04-26,22.480000,22.480000,22.480000,22.480000,22.480000,0
2019-04-29,22.629999,22.629999,22.629999,22.629999,22.629999,0
2019-04-30,22.709999,22.709999,22.709999,22.709999,22.709999,0
2019-05-01,22.459999,22.459999,22.459999,22.459999,22.459999,0
2019-05-02,22.459999,22.459999,22.459999,22.459999,22.459999,0
2019-05-03,22.709999,22.709999,22.709999,22.709999,22.709999,0
2019-05-06,22.639999,22.639999,22.639999,22.639999,22.639999,0
2019-05-07,22.219999,22.219999,22.219999,22.219999,22.219999,0
2019-05-08,22.170000,22.170000,22.170000,22.170000,22.170000,0
2019-05-09,22.120001,22.120001,22.120001,22.120001,22.120001,0
2019-05-10,22.209999,22.209999,22.209999,22.209999,22.209999,0
2019-05-13,21.510000,21.510000,21.510000,21.510000,21.510000,0
2019-05-14,21.799999,21.799999,21.799999,21.799999,21.799999,0
2019-05-15,21.850000,21.850000,21.850000,21.850000,21.850000,0
2019-05-16,22.170000,22.170000,22.170000,22.170000,22.170000,0
2019-05-17,22.030001,22.030001,22.030001,22.030001,22.030001,0
2019-05-20,22.020000,22.020000,22.020000,22.020000,22.020000,0
2019-05-21,22.200001,22.200001,22.200001,22.200001,22.200001,0
2019-05-22,22.170000,22.170000,22.170000,22.170000,22.170000,0
2019-05-23,21.740000,21.740000,21.740000,21.740000,21.740000,0
2019-05-24,21.930000,21.930000,21.930000,21.930000,21.930000,0
2019-05-28,21.860001,21.860001,21.860001,21.860001,21.860001,0
2019-05-29,21.740000,21.740000,21.740000,21.740000,21.740000,0
2019-05-30,21.700001,21.700001,21.700001,21.700001,21.700001,0
2019-05-31,21.370001,21.370001,21.370001,21.370001,21.370001,0
2019-06-03,21.150000,21.150000,21.150000,21.150000,21.150000,0
2019-06-04,21.830000,21.830000,21.830000,21.830000,21.830000,0
2019-06-05,22.070000,22.070000,22.070000,22.070000,22.070000,0
2019-06-06,22.250000,22.250000,22.250000,22.250000,22.250000,0
2019-06-07,22.410000,22.410000,22.410000,22.410000,22.410000,0
2019-06-10,22.650000,22.650000,22.650000,22.650000,22.650000,0
2019-06-11,22.570000,22.570000,22.570000,22.570000,22.570000,0
